#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
137 214.9936143 52.9580343 3718.3521 4208.8916 27.9502 0.093 27.9671 0.074 27.8183 0.0566 26.2085 0.0309 26.3857 0.0417 27.59 0.0927 26.336 0.0648
138 214.9900576 52.9555116 3332.3853 4208.1602 26.3715 0.0371 26.512 0.0276 26.4234 0.0252 24.8045 0.0123 25.2288 0.0177 25.425 0.0306 25.704 0.0437
139 214.9654682 52.9379504 653.0074 4211.3242 28.1873 0.0928 0.0 0.0 0.0 0.0 27.4745 0.0901 27.9538 0.0952 27.0279 0.1179 27.8913 0.1622
140 215.0232847 52.9789022 6922.0303 4227.1621 0.0 0.0 27.7864 0.0831 27.5697 0.0469 25.7545 0.0253 26.052 0.0271 26.1552 0.0408 26.165 0.0363
141 214.9864697 52.9530141 2947.2329 4203.8301 26.651 0.0373 26.7496 0.0307 26.2935 0.0267 24.9812 0.0148 25.1499 0.0146 25.2164 0.0252 25.2875 0.025
142 215.0145014 52.973108 6007.8291 4193.0903 25.9573 0.022 25.2837 0.0118 25.0983 0.0091 23.5292 0.0052 23.5174 0.0042 23.5152 0.0073 23.5634 0.0061
143 214.9873821 52.953873 3065.1025 4188.0742 24.9576 0.0339 25.2233 0.0273 25.0714 0.0165 23.7333 0.0092 23.8492 0.0095 23.9554 0.0173 24.2781 0.0187
144 214.9903401 52.9557074 3362.6272 4208.5654 26.196 0.0503 26.4893 0.0466 26.1459 0.0391 24.9448 0.017 25.3045 0.0261 26.3849 0.0644 25.3699 0.0408
145 214.9891407 52.9548999 3236.3235 4205.0527 28.4344 0.1908 28.2694 0.0914 28.1261 0.0789 26.6887 0.1253 26.2743 0.0507 27.1129 0.1097 27.4456 0.1051
146 215.0459742 52.9944168 9332.0498 4273.1528 25.0459 0.0346 24.8563 0.0182 24.7038 0.0141 23.2728 0.0068 23.2107 0.007 23.4974 0.0123 23.5754 0.0119
147 215.0272084 52.981117 7297.1562 4270.4824 24.5129 0.016 23.8197 0.0082 23.4815 0.0039 0.0 0.0 21.846 0.0017 21.8319 0.0031 21.8765 0.0021
